観測所名称,フリガナ,市町,水系名,河川名,データ所管,住所,緯度,経度,事務所,入力時使用
向原(国),ムカイハラ,安芸高田市,太田川,三篠川,国土交通省,安芸高田市向原町坂字松ノ木3641-4,34.6075,132.7511111111111,,1
白木(国),シラキ,広島市安佐北区,太田川,関川,国土交通省,広島市安佐北区白木町小越字関川612-4,34.550555555555555,132.66722222222222,,1
狩留家(国),カルガ,広島市安佐北区,太田川,三篠川,国土交通省,広島市安佐北区狩留家町2658,34.48583333333333,132.56805555555556,,1
湯来(国),ユキ,広島市佐伯区,太田川,水内川,国土交通省,広島市佐伯区湯来町大字麦谷字中河原1594-1,34.52444444444444,132.3013888888889,,1
大谷(国),オオタニ,広島市佐伯区,太田川,水内川,国土交通省,広島市佐伯区湯来町大字多田字上大谷44-2,34.42861111111111,132.18472222222223,,1
七曲(国),ナナマガリ,北広島町,太田川,西宗川,国土交通省,山県郡北広島町吉木字七曲4779-1,34.615,132.38472222222222,,1
加計(国),カケ,安芸太田町,太田川,太田川,国土交通省,山県郡安芸太田町加計中ノ渡,34.60888888888889,132.31694444444443,,1
飯室(国),イムロ,広島市安佐北区,太田川,太田川,国土交通省,広島市安佐北区安佐町大字飯室,34.53527777777778,132.43333333333334,,1
高瀬(国),タカセ,広島市安佐南区,太田川,安川,国土交通省,広島市安佐南区八木5-31-1,34.48027777777778,132.48472222222222,,1
広島(国),ヒロシマ,広島市中区,太田川,京橋川,国土交通省,広島市中区八丁堀3-20,34.39694444444444,132.4511111111111,,1
溝口(国),ミゾグチ,北広島町,太田川,丁川,国土交通省,山県郡北広島町溝口字大崎1151,34.705000000000005,132.36805555555557,,1
筒賀(国),ツツガ,安芸太田町,太田川,筒賀川,国土交通省,山県郡安芸太田町中筒賀,34.558055555555555,132.23472222222222,,1
南原(国),ナバラ,広島市安佐北区,太田川,南原川,国土交通省,広島市安佐北区可部町南原字無神477,34.55166666666666,132.5013888888889,,1
鈴張(国),スズハリ,広島市安佐北区,太田川,鈴張川,国土交通省,広島市安佐北区安佐町鈴張字戸木谷1567-4,34.58361111111111,132.46694444444444,,1
楢原(国),ナラハラ,廿日市市,小瀬川,玖島川,国土交通省,廿日市市玖島字楢原4323-1,34.39111111111111,132.25,,1
小河内(砂防),オガウチ,広島市安佐北区,太田川,小河内川,国土交通省,広島市安佐北区安佐町大字小河内字平原谷,34.55777777777777,132.40027777777777,,0
沢田(砂防),サワダ,広島市安佐北区,太田川,小河内川,国土交通省,広島市安佐北区安佐町大字小河内字西沢田,34.5575,132.40027777777777,,0
市川(砂防),イチカワ,広島市安佐北区,太田川,根谷川,国土交通省,広島市安佐北区白木町大字市川字宮地山,34.535,132.58416666666668,,0
くすの木台(砂防),クスノキダイ,広島市安佐北区,太田川,吉山川,国土交通省,広島市安佐北区安佐町大字くすの木台4-2,34.50527777777778,132.3836111111111,,0
毘沙門台(砂防),ビシャモンダイ,広島市安佐南区,太田川,安川,国土交通省,広島市安佐南区毘沙門台4丁目500-226,34.48444444444444,132.4511111111111,,0
深川(砂防),フカワ,広島市安佐北区,太田川,三篠川,国土交通省,広島市安佐北区深川5丁目12-1,34.488055555555555,132.51805555555558,,0
吉山(砂防),ヨシヤマ,広島市安佐南区,太田川,吉山川,国土交通省,広島市安佐南区沼田町大字吉山字影浦,34.45472222222222,132.31805555555556,,0
石内(砂防),イシウチ,広島市佐伯区,八幡川,石内川,国土交通省,広島市佐伯区五日市町大字石内字奥原3366-4,34.441111111111105,132.3511111111111,,0
温品(砂防),ヌクシナ,広島市東区,太田川,戸坂川,国土交通省,広島市東区戸坂町748,34.4375,132.5,,0
赤土地(砂防),アカドチ,広島市佐伯区,小瀬川,玖島川,国土交通省,広島市佐伯区湯来白砂字赤土地地先,34.4325,132.23472222222222,,0
地御前(砂防),ジゴゼン,廿日市市,その他,沿岸部,国土交通省,廿日市市宮内877-2,34.337500000000006,132.30027777777778,,0
矢草(砂防),ヤクサ,廿日市市,単独河川,永慶寺川,国土交通省,廿日市市大野矢草2734番地の1,34.33444444444444,132.26666666666668,,0
相田(砂防),アイタ,広島市安佐南区,太田川,安川,国土交通省,広島市安佐南区相田７丁目,34.461666666666666,132.4338888888889,,0
湯船(砂防),ユブネ,大竹市,その他,沿岸部,国土交通省,大竹市湯船町,34.253055555555555,132.21666666666667,,0
野貝原(砂防),ノガイバラ,廿日市市,単独河川,御手洗川,国土交通省,廿日市市原字川末125-1,34.37305555555555,132.2675,,0
松原(国),マツバラ,安芸太田町,太田川,松原川,国ダム,山県郡安芸太田町松原,34.66027777777778,132.23333333333332,,1
雄鹿原(国),オガワラ,北広島町,太田川,大佐川,国ダム,山県郡北広島町中祖字城岩山,34.7175,132.23416666666665,,1
上奥原(国),ウエオクハラ,北広島町,太田川,滝山川,国ダム,山県郡北広島町大字草安字野々原,34.76361111111111,132.26694444444445,,1
大暮(国),オオグレ,北広島町,太田川,大暮川,国ダム,山県郡北広島町大暮字西小屋ヶ原,34.751666666666665,132.31805555555556,,1
王泊(国),オオドマリ,北広島町,太田川,高野川,国ダム,山県郡北広島町細見字野田ヶ原361,34.70444444444445,132.3013888888889,,1
温井ダム(国),ヌクイダム,安芸太田町,太田川,太田川,国ダム,山県郡安芸太田町大字加計地先,34.635,132.30027777777778,,1
津田(国),ツダ,廿日市市,小瀬川,林川,国ダム,廿日市市津田850番地,34.37111111111111,132.1838888888889,,1
中道(国),ナカミチ,廿日市市,小瀬川,小瀬川,国ダム,廿日市市中道三島原,34.36805555555556,132.08333333333334,,1
弥栄ダム(国),ヤサカダム,大竹市,小瀬川,小瀬川,国ダム,大竹市小方町小方813-1,34.23555555555556,132.1513888888889,,1
府中(国),フチュウ,府中市,芦田川,芦田川,国土交通省,府中市府川町,34.564166666666665,133.2336111111111,,1
福山(国),フクヤマ,福山市,その他,沿岸部,国土交通省,福山市三吉町4-4-13,34.49583333333334,133.3675,,1
箕島(国),ミノシマ,福山市,芦田川,芦田川,国土交通省,福山市箕島町釣ヶ端山　367-3,34.42972222222222,133.40027777777777,,1
大谷山(国),オオタニヤマ,福山市,芦田川,河手川,国土交通省,福山市芦田町大字福田字新庄南平377-2,34.50083333333333,133.2675,,1
御調(国),ミツギ,尾道市,芦田川,八幡川,国土交通省,尾道市御調町丸門田1491-4,34.495,133.1013888888889,,1
神辺(国),カンナベ,福山市,芦田川,高屋川,国土交通省,福山市神辺町字上御領野々上1807-4,34.573888888888895,133.41666666666666,,1
駅家(国),エキヤ,福山市,芦田川,服部川,国土交通省,福山市駅家町大字服部本郷486-2,34.60027777777778,133.3011111111111,,1
賀茂(国),カモ,世羅町,芦田川,芦田川,国ダム,世羅郡世羅町大字賀茂字東坊362-2,34.57416666666667,132.98388888888888,,1
八田原(国),ハッタバラ,世羅町,芦田川,芦田川,国ダム,世羅郡世羅町大字小谷字苦谷山1100-1,34.59055555555556,133.13444444444443,,1
宇津戸(国),ウツド,世羅町,芦田川,宇津戸川,国ダム,広島県世羅郡世羅町大字宇津戸字関谷1433-2,34.55916666666666,133.1011111111111,,1
高蓋(国),タカフタ,神石高原町,芦田川,矢多田川,国ダム,神石郡神石高原町高蓋甲　565,34.67583333333333,133.20083333333332,,1
古城(国),コジョウ,府中市,芦田川,矢多田川,国ダム,府中市上下町大字矢多田字豆栗1024-4,34.65,133.13444444444443,,1
大津(国),オオツ,三次市,江の川,江の川,国土交通省,島根県邑智郡邑南町下口羽2983,34.88805555555555,132.66777777777776,,1
吉田(国),ヨシダ,安芸高田市,江の川,江の川,国土交通省,安芸高田市吉田町大字常友字西大坪1204-1,34.665277777777774,132.70138888888889,,1
高暮(国),コウボ,庄原市,江の川,神野瀬川,国土交通省,庄原市高野町高暮字本高暮山266-4,34.995,132.78444444444443,,1
美土里(国),ミドリ,安芸高田市,江の川,生田川,国土交通省,安芸高田市美土里町北字鉄木谷1121-12,34.766666666666666,132.6336111111111,,1
高宮(国),タカミヤ,安芸高田市,江の川,生田川,国土交通省,安芸高田市高宮町大字舟木字上中野郷635-3,34.781666666666666,132.73444444444442,,1
西城(国),サイジョウ,庄原市,江の川,西城川,国土交通省,庄原市西城町中野字赤羽根623-2,34.94416666666666,133.11694444444444,,1
庄原(国),ショウバラ,庄原市,江の川,西城川,国土交通省,庄原市本町字柳,34.863055555555555,133.0011111111111,,1
総領(国),ソウリョウ,庄原市,江の川,領家川,国土交通省,庄原市総領町稲草陰地2189-3,34.783055555555556,133.06666666666666,,1
吉舎(国),キサ,三次市,江の川,馬洗川,国土交通省,三次市吉舎町吉舎368,34.721944444444446,132.98416666666665,,1
津名(国),ツナ,世羅町,江の川,馬洗川,国土交通省,世羅郡世羅町西町大字下津田字町屋林393-3,34.66138888888889,132.91666666666666,,1
三次(国),ミヨシ,三次市,江の川,馬洗川,国土交通省,三次市十日市西6丁目2番1号,34.803888888888885,132.83444444444444,,1
大月(国),オオツキ,庄原市,江の川,竹地川,国土交通省,庄原市口和町大月字上岡343-2,34.915,132.88333333333333,,1
板木(国),イタキ,三次市,江の川,板木川,国土交通省,三次市三和町大字下板木字高迫12-2（下板木体育館下）,34.69333333333333,132.81805555555556,,1
比和(国),ヒワ,庄原市,江の川,比和川,国土交通省,庄原市比和町木屋原字若宮沖85-2,34.973055555555554,132.96805555555557,,1
布野(国),フノ,三次市,江の川,布野川,国土交通省,三次市布野町上布野河名原地先,34.885555555555555,132.76777777777778,,1
油木(国),ユキ,庄原市,江の川,六の原川,国土交通省,庄原市西城町油木上工人詰メ1178,35.046388888888885,133.10083333333333,,1
志路原(国),シジハラ,北広島町,江の川,志路原川,国土交通省,山県郡北広島町志路原字土井原1570-2,34.71555555555556,132.43416666666667,,1
西野(国),ニシノ,三次市,江の川,上下川,国土交通省,三次市甲奴町西野40-2,34.70861111111111,133.06722222222223,,1
上安田(国),カミヤスダ,三次市,江の川,上下川,国土交通省,三次市吉舎町上安田,34.74666666666667,133.03333333333333,,1
上領家(国),カミリョウケ,庄原市,江の川,田総川,国土交通省,庄原市総領町上領家180-1,34.802499999999995,133.11694444444444,,1
黒目(国),クロメ,庄原市,江の川,耳高川,国土交通省,庄原市総領町黒目2486-1,34.73861111111111,133.1013888888889,,1
灰塚ダム(国),ハイヅカダム,三次市,江の川,上下川,国土交通省,三次市三良坂町仁賀1575,34.78583333333333,132.9836111111111,,1
大朝(国),オオアサ,北広島町,江の川,江の川,国ダム,山県郡北広島町字平岩298-2,34.76444444444444,132.48333333333332,,1
藤原(国),トウハラ,北広島町,江の川,江の川,国ダム,山県郡北広島町川戸字藤原4562-7,34.737500000000004,132.5338888888889,,1
本地(国),ホンジ,北広島町,江の川,都合谷川,国ダム,山県郡北広島町本地字西浦2477-5,34.64222222222222,132.50055555555556,,1
土師(国),ハジ,安芸高田市,江の川,江の川,国ダム,安芸高田市八千代町土師字新開369-24,34.64416666666666,132.61722222222224,,1
東城(国),トウジョウ,庄原市,高梁川,成羽川,国土交通省,庄原市東城町川東字糸谷35-3,34.902499999999996,133.2513888888889,,1
時安(国),トキヤス,神石高原町,高梁川,矢川,国土交通省,神石郡神石高原町時安,34.697222222222216,133.3338888888889,,1
広島(気),ヒロシマ,,太田川,京橋川,気象台,広島市中区上八丁堀　広島地方気象台,34.400486,132.463394,西部建設,1
三入(気),ミイリ ,,太田川,山倉川,気象台,広島市安佐北区三入,34.533821,132.5186,西部建設,1
佐伯湯来(気),サエキユキ,,太田川,水内川,気象台,広島市佐伯区湯来町大字和田字中須賀,34.497746,132.288788,西部建設,1
大竹(気),オオタケ,,その他,沿岸部,気象台,大竹市立戸,34.222763,132.218582,廿日市支所,1
廿日市津田(気),ハツカイチツタ,,小瀬川,林川,気象台,廿日市市津田,34.370487,132.175842,廿日市支所,1
呉(気),クレ,,二河川,二河川,気象台,呉市宝町　呉特別地域気象観測所,34.243469,132.555832,呉支所,1
倉橋(気),クラハシ,,その他,沿岸部,気象台,呉市倉橋町本浦,34.11771,132.502457,呉支所,1
呉市蒲刈(気),クレシカマガリ,,その他,沿岸部,気象台,呉市蒲刈町大浦字前沖浦,34.17598,132.743057,呉支所,1
竹原(気),タケハラ,,その他,沿岸部,気象台,竹原市忠海町,34.3438,132.974136,東広島支所,1
志和(気),シワ,,太田川,関川,気象台,東広島市志和町志和堀,34.513519,132.67424,東広島支所,1
東広島(気),ヒガシヒロシマ,,黒瀬川,番蔵川,気象台,東広島市八本松町原,34.417465,132.683609,東広島支所,1
安宿(気),アスカ,,沼田川,椋梨川,気象台,東広島市豊栄町安宿,34.565536,132.85672,東広島支所,1
本郷(気),ホンゴウ,,沼田川,善入寺川,気象台,三原市本郷町善入寺平岩　広島空港出張所,34.436947,132.915253,三原支所,1
生口島(気),イクチジマ,,その他,沿岸部,気象台,尾道市瀬戸田町御寺,34.283779,133.11351,三原支所,1
福山(気),フクヤマ,,本郷川,本郷川,気象台,福山市松永町　福山特別地域気象観測所,34.451309,133.259186,東部建設,1
上下(気),ジョウゲ,,江の川,上下川,気象台,府中市上下町上下,34.698009,133.13327,東部建設,1
府中(気),フチュウ,,芦田川,芦田川,気象台,府中市土生町,34.562798,133.226715,東部建設,1
世羅(気),セラ,,芦田川,神崎川,気象台,世羅郡世羅町大字東神崎字大田,34.569267,133.048264,三原支所,1
油木(気),ユキ,,高梁川,安田川,気象台,神石郡神石高原町安田伊ノ平谷,34.750546,133.260773,東部建設,1
君田(気),キミタ,,江の川,神野瀬川,気象台,三次市君田町櫃田字市井谷,34.952118,132.810547,北部建設,1
三次(気),ミヨシ,,江の川,西城川,気象台,三次市三次町,34.819317,132.850388,北部建設,1
高野(気),タカノ,,江の川,神野瀬川,気象台,庄原市高野町新市,35.054745,132.93309,庄原支所,1
庄原(気),ショウバラ,,江の川,西城川,気象台,庄原市東本町,34.856709,133.023376,庄原支所,1
東城(気),トウジョウ,,高梁川,福代川,気象台,庄原市東城町川東,34.901745,133.284256,庄原支所,1
道後山(気),ドウゴヤマ,,高梁川,道後川,気象台,庄原市西城町三坂,35.051163,133.19841,庄原支所,1
美土里(気),ミドリ,,江の川,本村川,気象台,安芸高田市美土里町横田,34.721344,132.661362,西部建設,1
甲田(気),コウダ,,江の川,大土川,気象台,安芸高田市甲田町高田原,34.679729,132.794861,西部建設,1
加計(気),カケ,,太田川,太田川,気象台,山県郡安芸太田町加計字神田,34.609978,132.322021,安芸太田支所,1
内黒山(気),ウチグロヤマ,,太田川,柴木川,気象台,山県郡安芸太田町大字横川字横川東平,34.591713,132.14798,安芸太田支所,1
都志見(気),ツシミ,,太田川,吉木川,気象台,山県郡北広島町都志見,34.647644,132.429581,安芸太田支所,1
王泊(気),オオドマリ,,太田川,滝山川,気象台,山県郡北広島町細見,34.729439,132.314102,安芸太田支所,1
八幡(気),ヤハタ,,太田川,柴木川,気象台,山県郡北広島町東八幡原,34.709293,132.178879,安芸太田支所,1
大朝(気),オオアサ,,江の川,江の川,気象台,山県郡北広島町大朝字大坪,34.775841,132.462433,安芸太田支所,1
